ApplicantID,Gender,Age,MonthlyIncome,LoanAmount,CreditScore,EmploymentStatus,ExistingLoans,LoanTerm,PropertyArea,LoanApproved
LP001001,Male,28,4670.0,74400.0,663.0,Employed,0,180,Semi-Urban,1
LP001002,Female,28,5390.0,185900.0,,Employed,0,180,Rural,1
LP001003,Female,35,5900.0,81400.0,652.0,Employed,0,120,Semi-Urban,0
LP001004,Male,42,5730.0,125600.0,696.0,Employed,0,36,Semi-Urban,0
LP001005,Male,48,6900.0,234100.0,686.0,Employed,2,360,Semi-Urban,1
LP001006,Male,29,8640.0,116500.0,667.0,Employed,0,60,Urban,1
LP001007,Male,54,8310.0,178000.0,730.0,Self-Employed,1,60,Urban,1
LP001008,Female,35,6970.0,176600.0,685.0,Employed,0,180,Semi-Urban,1
LP001009,Male,37,2280.0,59900.0,656.0,Employed,2,180,Semi-Urban,1
LP001010,Female,29,1940.0,19900.0,360.0,Unemployed,1,12,Rural,0
LP001011,Male,21,5580.0,78100.0,594.0,Employed,0,60,Urban,0
LP001012,Female,47,4250.0,143600.0,594.0,Employed,1,180,Rural,1
LP001013,Female,46,4000.0,93200.0,696.0,Employed,0,240,Urban,1
LP001014,Male,34,7690.0,239800.0,775.0,Employed,1,120,Semi-Urban,1
LP001015,Male,38,3860.0,109600.0,671.0,Employed,0,180,Semi-Urban,1
LP001016,Male,43,4300.0,87300.0,673.0,Employed,5,180,Urban,1
LP001017,Male,21,9720.0,443800.0,728.0,Employed,0,360,Urban,1
LP001018,Male,32,7220.0,90000.0,690.0,Self-Employed,0,120,Urban,1
LP001019,Male,46,10500.0,204100.0,723.0,Employed,1,60,Urban,1
LP001020,Male,24,8420.0,223700.0,698.0,Employed,0,180,Semi-Urban,1
LP001021,Male,41,2770.0,39000.0,634.0,Self-Employed,2,240,Urban,1
LP001022,Male,23,,59400.0,709.0,Employed,1,60,Semi-Urban,1
LP001023,Male,43,12620.0,364000.0,788.0,Self-Employed,1,180,Urban,1
LP001024,Male,37,2770.0,31200.0,715.0,Employed,0,12,Rural,1
LP001025,Male,21,8470.0,87600.0,661.0,Self-Employed,2,36,Rural,1
LP001026,Female,50,5320.0,200900.0,614.0,Employed,1,180,Semi-Urban,1
LP001027,Male,29,1850.0,44400.0,786.0,Self-Employed,0,120,Semi-Urban,1
LP001028,Male,29,800.0,12200.0,474.0,Unemployed,0,360,Urban,0
LP001029,Male,40,5860.0,123700.0,552.0,Employed,0,240,Rural,1
LP001030,Male,50,27040.0,500000.0,637.0,Employed,4,180,Urban,1
LP001031,Male,26,4910.0,83700.0,613.0,Employed,0,180,Urban,1
LP001032,Male,38,2920.0,90800.0,761.0,Employed,1,180,Urban,1
LP001033,Male,42,6310.0,74000.0,553.0,Employed,0,36,Semi-Urban,0
LP001034,Female,45,1740.0,31000.0,752.0,Employed,0,360,Semi-Urban,1
LP001035,Female,39,5160.0,141800.0,741.0,Employed,1,360,Semi-Urban,1
